algoritmo,tamano,tiempo,complejidad,operaciones_reales,operaciones_normalizadas,ratio_ops_tamano,log_operaciones,log_tamano,tiempo_normalizado
busqueda_lineal,10,0.0,O(n),4,0.039603960396039604,0.4,1.6094379124341003,2.3978952727983707,0.0
busqueda_lineal,15,0.0,O(n),7,0.030973451327433628,0.4666666666666667,2.0794415416798357,2.772588722239781,0.0
busqueda_lineal,20,0.0,O(n),12,0.029925187032418952,0.6,2.5649493574615367,3.044522437723423,0.0
busqueda_lineal,25,0.0,O(n),22,0.03514376996805112,0.88,3.1354942159291497,3.258096538021482,0.0
busqueda_lineal,30,0.0,O(n),24,0.026637069922308545,0.8,3.2188758248682006,3.4339872044851463,0.0
busqueda_lineal,50,0.0,O(n),8,0.003198720511795282,0.16,2.1972245773362196,3.9318256327243257,0.0
busqueda_lineal,75,0.0,O(n),9,0.0015997156061144685,0.12,2.302585092994046,4.330733340286331,0.0
busqueda_lineal,100,0.0,O(n),48,0.0047995200479952005,0.48,3.8918202981106265,4.61512051684126,0.0
busqueda_lineal,150,0.0,O(n),4,0.00017776987689436025,0.02666666666666667,1.6094379124341003,5.017279836814924,0.0
busqueda_lineal,200,0.00014328956604003906,O(n),112,0.002799930001749956,0.56,4.727387818712341,5.303304908059076,3.582149597261045e-09
busqueda_lineal,210,0.0001430511474609375,O(n),86,0.0019500691594294913,0.4095238095238095,4.465908118654584,5.351858133476067,3.243716638192728e-09
busqueda_lineal,350,0.0,O(n),323,0.0026367131696884106,0.9228571428571428,5.780743515792329,5.860786223465865,0.0
busqueda_lineal,400,0.0,O(n),81,0.0005062468359572753,0.2025,4.406719247264253,5.993961427306569,0.0
busqueda_lineal,450,0.00020046234130859374,O(n),413,0.002039496101253821,0.9177777777777778,6.025865973825314,6.111467339502679,9.899325993876265e-10
busqueda_lineal,550,0.00019993782043457032,O(n),256,0.0008462781941216723,0.46545454545454545,5.54907608489522,6.311734809152915,6.609492875546537e-10
busqueda_lineal,660,0.00019998550415039061,O(n),209,0.00047979687833590834,0.31666666666666665,5.3471075307174685,6.493753839851686,4.591024909272261e-10
busqueda_binaria,10,0.0,O(log n),5,0.04950495049504951,0.5,1.791759469228055,2.3978952727983707,0.0
busqueda_binaria,15,0.0,O(log n),23,0.10176991150442478,1.5333333333333334,3.1780538303479458,2.772588722239781,0.0
busqueda_binaria,20,0.0,O(log n),23,0.057356608478802994,1.15,3.1780538303479458,3.044522437723423,0.0
busqueda_binaria,25,0.0,O(log n),23,0.036741214057507986,0.92,3.1780538303479458,3.258096538021482,0.0
busqueda_binaria,30,0.0,O(log n),29,0.03218645948945616,0.9666666666666667,3.4011973816621555,3.4339872044851463,0.0
